case_id,step_index,mode,previous_resource,activity,selected_resource,feasible_resource_count,feasible_resources_top,historical_prior,selection_rule,factors,reason
S_llm_agent_proxy_0001,3,llm_agent_proxy,AML Investigator-000002,Appraise property,Appraiser-000001,2,Appraiser-000001|Appraiser-000002,"{""Appraiser-000001"": 0.5082, ""Appraiser-000002"": 0.4918}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Appraiser-000001 for Appraise property from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0001,4,llm_agent_proxy,Appraiser-000001,Check credit history,Clerk-000008,8,Clerk-000005|Clerk-000004|Clerk-000007|Clerk-000002|Clerk-000006|Clerk-000001|Clerk-000003|Clerk-000008,"{""Clerk-000001"": 0.1117, ""Clerk-000002"": 0.138, ""Clerk-000003"": 0.1267, ""Clerk-000004"": 0.1368, ""Clerk-000005"": 0.1393, ""Clerk-000006"": 0.1154, ""Clerk-000007"": 0.123, ""Clerk-000008"": 0.1092}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000008 for Check credit history from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0001,5,llm_agent_proxy,Clerk-000008,Assess loan risk,Loan Officer-000002,4,Loan Officer-000002|Loan Officer-000004|Loan Officer-000003|Loan Officer-000001,"{""Loan Officer-000001"": 0.2647, ""Loan Officer-000002"": 0.2509, ""Loan Officer-000003"": 0.2309, ""Loan Officer-000004"": 0.2535}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000002 for Assess loan risk from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0001,6,llm_agent_proxy,Loan Officer-000002,Design loan offer,Loan Officer-000004,4,Loan Officer-000003|Loan Officer-000004|Loan Officer-000001|Loan Officer-000002,"{""Loan Officer-000001"": 0.2286, ""Loan Officer-000002"": 0.2457, ""Loan Officer-000003"": 0.2821, ""Loan Officer-000004"": 0.2436}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000004 for Design loan offer from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0001,7,llm_agent_proxy,Loan Officer-000004,Approve loan offer,Senior Officer-000002,2,Senior Officer-000002|Senior Officer-000001,"{""Senior Officer-000001"": 0.5, ""Senior Officer-000002"": 0.5}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Senior Officer-000002 for Approve loan offer from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0001,8,llm_agent_proxy,Senior Officer-000002,Cancel application,Clerk-000001,8,Clerk-000001|Clerk-000004|Clerk-000007|Clerk-000002|Clerk-000005|Clerk-000008|Clerk-000003|Clerk-000006,"{""Clerk-000001"": 0.1276, ""Clerk-000002"": 0.1345, ""Clerk-000003"": 0.1138, ""Clerk-000004"": 0.1379, ""Clerk-000005"": 0.1414, ""Clerk-000006"": 0.1, ""Clerk-000007"": 0.1276, ""Clerk-000008"": 0.1172}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000001 for Cancel application from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0002,1,llm_agent_proxy,,Check application form completeness,Clerk-000003,8,Clerk-000001|Clerk-000006|Clerk-000008|Clerk-000007|Clerk-000003|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_activity_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000003 for Check application form completeness from resource-local feasible candidates using guarded_activity_prior.
S_llm_agent_proxy_0002,2,llm_agent_proxy,Clerk-000003,Appraise property,Appraiser-000002,2,Appraiser-000001|Appraiser-000002,"{""Appraiser-000001"": 0.5082, ""Appraiser-000002"": 0.4918}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Appraiser-000002 for Appraise property from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0002,3,llm_agent_proxy,Appraiser-000002,Check credit history,Clerk-000001,8,Clerk-000005|Clerk-000001|Clerk-000004|Clerk-000008|Clerk-000002|Clerk-000007|Clerk-000006|Clerk-000003,"{""Clerk-000001"": 0.1117, ""Clerk-000002"": 0.138, ""Clerk-000003"": 0.1267, ""Clerk-000004"": 0.1368, ""Clerk-000005"": 0.1393, ""Clerk-000006"": 0.1154, ""Clerk-000007"": 0.123, ""Clerk-000008"": 0.1092}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000001 for Check credit history from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0002,4,llm_agent_proxy,Clerk-000001,AML check,AML Investigator-000001,2,AML Investigator-000002|AML Investigator-000001,"{""AML Investigator-000001"": 0.4918, ""AML Investigator-000002"": 0.5082}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected AML Investigator-000001 for AML check from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0002,5,llm_agent_proxy,AML Investigator-000001,Assess loan risk,Loan Officer-000003,4,Loan Officer-000004|Loan Officer-000003|Loan Officer-000002|Loan Officer-000001,"{""Loan Officer-000001"": 0.2647, ""Loan Officer-000002"": 0.2509, ""Loan Officer-000003"": 0.2309, ""Loan Officer-000004"": 0.2535}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000003 for Assess loan risk from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0002,6,llm_agent_proxy,Loan Officer-000003,Reject application,Clerk-000003,8,Clerk-000001|Clerk-000005|Clerk-000004|Clerk-000002|Clerk-000006|Clerk-000003|Clerk-000008|Clerk-000007,"{""Clerk-000001"": 0.155, ""Clerk-000002"": 0.1125, ""Clerk-000003"": 0.1185, ""Clerk-000004"": 0.1307, ""Clerk-000005"": 0.1246, ""Clerk-000006"": 0.1033, ""Clerk-000007"": 0.1185, ""Clerk-000008"": 0.1368}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000003 for Reject application from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0003,1,llm_agent_proxy,,Check application form completeness,Clerk-000001,8,Clerk-000001|Clerk-000006|Clerk-000008|Clerk-000007|Clerk-000003|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_activity_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000001 for Check application form completeness from resource-local feasible candidates using guarded_activity_prior.
S_llm_agent_proxy_0003,2,llm_agent_proxy,Clerk-000001,Appraise property,Appraiser-000002,2,Appraiser-000001|Appraiser-000002,"{""Appraiser-000001"": 0.5082, ""Appraiser-000002"": 0.4918}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Appraiser-000002 for Appraise property from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0003,3,llm_agent_proxy,Appraiser-000002,Check credit history,Clerk-000005,8,Clerk-000005|Clerk-000001|Clerk-000004|Clerk-000008|Clerk-000002|Clerk-000007|Clerk-000006|Clerk-000003,"{""Clerk-000001"": 0.1117, ""Clerk-000002"": 0.138, ""Clerk-000003"": 0.1267, ""Clerk-000004"": 0.1368, ""Clerk-000005"": 0.1393, ""Clerk-000006"": 0.1154, ""Clerk-000007"": 0.123, ""Clerk-000008"": 0.1092}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000005 for Check credit history from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0003,4,llm_agent_proxy,Clerk-000005,AML check,AML Investigator-000002,2,AML Investigator-000001|AML Investigator-000002,"{""AML Investigator-000001"": 0.4918, ""AML Investigator-000002"": 0.5082}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected AML Investigator-000002 for AML check from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0003,5,llm_agent_proxy,AML Investigator-000002,Assess loan risk,Loan Officer-000003,4,Loan Officer-000001|Loan Officer-000002|Loan Officer-000003|Loan Officer-000004,"{""Loan Officer-000001"": 0.2647, ""Loan Officer-000002"": 0.2509, ""Loan Officer-000003"": 0.2309, ""Loan Officer-000004"": 0.2535}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000003 for Assess loan risk from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0003,6,llm_agent_proxy,Loan Officer-000003,Reject application,Clerk-000002,8,Clerk-000001|Clerk-000005|Clerk-000004|Clerk-000002|Clerk-000006|Clerk-000003|Clerk-000008|Clerk-000007,"{""Clerk-000001"": 0.155, ""Clerk-000002"": 0.1125, ""Clerk-000003"": 0.1185, ""Clerk-000004"": 0.1307, ""Clerk-000005"": 0.1246, ""Clerk-000006"": 0.1033, ""Clerk-000007"": 0.1185, ""Clerk-000008"": 0.1368}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000002 for Reject application from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,1,llm_agent_proxy,,Check application form completeness,Clerk-000005,8,Clerk-000001|Clerk-000006|Clerk-000008|Clerk-000007|Clerk-000003|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_activity_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000005 for Check application form completeness from resource-local feasible candidates using guarded_activity_prior.
S_llm_agent_proxy_0004,2,llm_agent_proxy,Clerk-000005,Return application back to applicant,Clerk-000008,4,Clerk-000006|Clerk-000007|Clerk-000004|Clerk-000008,"{""Clerk-000001"": 0.0465, ""Clerk-000002"": 0.1163, ""Clerk-000003"": 0.1279, ""Clerk-000004"": 0.093, ""Clerk-000005"": 0.1279, ""Clerk-000006"": 0.186, ""Clerk-000007"": 0.186, ""Clerk-000008"": 0.1163}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000008 for Return application back to applicant from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,3,llm_agent_proxy,Clerk-000008,Applicant completes form,Applicant-000001,1,Applicant-000001,"{""Applicant-000001"": 1.0}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Applicant-000001 for Applicant completes form from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,4,llm_agent_proxy,Applicant-000001,Check application form completeness,Clerk-000006,8,Clerk-000003|Clerk-000008|Clerk-000007|Clerk-000006|Clerk-000001|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000006 for Check application form completeness from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,5,llm_agent_proxy,Clerk-000006,AML check,AML Investigator-000001,2,AML Investigator-000002|AML Investigator-000001,"{""AML Investigator-000001"": 0.4918, ""AML Investigator-000002"": 0.5082}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected AML Investigator-000001 for AML check from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,6,llm_agent_proxy,AML Investigator-000001,Check credit history,Clerk-000001,8,Clerk-000002|Clerk-000004|Clerk-000003|Clerk-000005|Clerk-000001|Clerk-000008|Clerk-000007|Clerk-000006,"{""Clerk-000001"": 0.1117, ""Clerk-000002"": 0.138, ""Clerk-000003"": 0.1267, ""Clerk-000004"": 0.1368, ""Clerk-000005"": 0.1393, ""Clerk-000006"": 0.1154, ""Clerk-000007"": 0.123, ""Clerk-000008"": 0.1092}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000001 for Check credit history from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,7,llm_agent_proxy,Clerk-000001,Appraise property,Appraiser-000001,2,Appraiser-000001|Appraiser-000002,"{""Appraiser-000001"": 0.5082, ""Appraiser-000002"": 0.4918}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Appraiser-000001 for Appraise property from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,8,llm_agent_proxy,Appraiser-000001,Assess loan risk,Loan Officer-000003,4,Loan Officer-000004|Loan Officer-000001|Loan Officer-000002|Loan Officer-000003,"{""Loan Officer-000001"": 0.2647, ""Loan Officer-000002"": 0.2509, ""Loan Officer-000003"": 0.2309, ""Loan Officer-000004"": 0.2535}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000003 for Assess loan risk from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,9,llm_agent_proxy,Loan Officer-000003,Design loan offer,Loan Officer-000004,4,Loan Officer-000001|Loan Officer-000002|Loan Officer-000004|Loan Officer-000003,"{""Loan Officer-000001"": 0.2286, ""Loan Officer-000002"": 0.2457, ""Loan Officer-000003"": 0.2821, ""Loan Officer-000004"": 0.2436}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000004 for Design loan offer from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,10,llm_agent_proxy,Loan Officer-000004,Approve loan offer,Senior Officer-000001,2,Senior Officer-000002|Senior Officer-000001,"{""Senior Officer-000001"": 0.5, ""Senior Officer-000002"": 0.5}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Senior Officer-000001 for Approve loan offer from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0004,11,llm_agent_proxy,Senior Officer-000001,Cancel application,Clerk-000005,8,Clerk-000005|Clerk-000002|Clerk-000003|Clerk-000004|Clerk-000008|Clerk-000007|Clerk-000006|Clerk-000001,"{""Clerk-000001"": 0.1276, ""Clerk-000002"": 0.1345, ""Clerk-000003"": 0.1138, ""Clerk-000004"": 0.1379, ""Clerk-000005"": 0.1414, ""Clerk-000006"": 0.1, ""Clerk-000007"": 0.1276, ""Clerk-000008"": 0.1172}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000005 for Cancel application from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0005,1,llm_agent_proxy,,Check application form completeness,Clerk-000007,8,Clerk-000001|Clerk-000006|Clerk-000008|Clerk-000007|Clerk-000003|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_activity_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000007 for Check application form completeness from resource-local feasible candidates using guarded_activity_prior.
S_llm_agent_proxy_0005,2,llm_agent_proxy,Clerk-000007,Check credit history,Clerk-000001,7,Clerk-000006|Clerk-000003|Clerk-000005|Clerk-000008|Clerk-000002|Clerk-000001|Clerk-000004,"{""Clerk-000001"": 0.1117, ""Clerk-000002"": 0.138, ""Clerk-000003"": 0.1267, ""Clerk-000004"": 0.1368, ""Clerk-000005"": 0.1393, ""Clerk-000006"": 0.1154, ""Clerk-000007"": 0.123, ""Clerk-000008"": 0.1092}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000001 for Check credit history from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0005,3,llm_agent_proxy,Clerk-000001,Appraise property,Appraiser-000001,2,Appraiser-000001|Appraiser-000002,"{""Appraiser-000001"": 0.5082, ""Appraiser-000002"": 0.4918}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Appraiser-000001 for Appraise property from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0005,4,llm_agent_proxy,Appraiser-000001,AML check,AML Investigator-000001,2,AML Investigator-000002|AML Investigator-000001,"{""AML Investigator-000001"": 0.4918, ""AML Investigator-000002"": 0.5082}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected AML Investigator-000001 for AML check from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0005,5,llm_agent_proxy,AML Investigator-000001,Assess loan risk,Loan Officer-000001,4,Loan Officer-000004|Loan Officer-000003|Loan Officer-000002|Loan Officer-000001,"{""Loan Officer-000001"": 0.2647, ""Loan Officer-000002"": 0.2509, ""Loan Officer-000003"": 0.2309, ""Loan Officer-000004"": 0.2535}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000001 for Assess loan risk from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0005,6,llm_agent_proxy,Loan Officer-000001,Reject application,Clerk-000004,8,Clerk-000001|Clerk-000007|Clerk-000008|Clerk-000003|Clerk-000002|Clerk-000004|Clerk-000005|Clerk-000006,"{""Clerk-000001"": 0.155, ""Clerk-000002"": 0.1125, ""Clerk-000003"": 0.1185, ""Clerk-000004"": 0.1307, ""Clerk-000005"": 0.1246, ""Clerk-000006"": 0.1033, ""Clerk-000007"": 0.1185, ""Clerk-000008"": 0.1368}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000004 for Reject application from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0006,1,llm_agent_proxy,,Check application form completeness,Clerk-000004,8,Clerk-000001|Clerk-000006|Clerk-000008|Clerk-000007|Clerk-000003|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_activity_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000004 for Check application form completeness from resource-local feasible candidates using guarded_activity_prior.
S_llm_agent_proxy_0006,2,llm_agent_proxy,Clerk-000004,Check credit history,Clerk-000007,7,Clerk-000003|Clerk-000006|Clerk-000007|Clerk-000002|Clerk-000008|Clerk-000001|Clerk-000005,"{""Clerk-000001"": 0.1117, ""Clerk-000002"": 0.138, ""Clerk-000003"": 0.1267, ""Clerk-000004"": 0.1368, ""Clerk-000005"": 0.1393, ""Clerk-000006"": 0.1154, ""Clerk-000007"": 0.123, ""Clerk-000008"": 0.1092}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000007 for Check credit history from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0006,3,llm_agent_proxy,Clerk-000007,AML check,AML Investigator-000002,2,AML Investigator-000002|AML Investigator-000001,"{""AML Investigator-000001"": 0.4918, ""AML Investigator-000002"": 0.5082}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected AML Investigator-000002 for AML check from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0006,4,llm_agent_proxy,AML Investigator-000002,Appraise property,Appraiser-000001,2,Appraiser-000001|Appraiser-000002,"{""Appraiser-000001"": 0.5082, ""Appraiser-000002"": 0.4918}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Appraiser-000001 for Appraise property from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0006,5,llm_agent_proxy,Appraiser-000001,Assess loan risk,Loan Officer-000001,4,Loan Officer-000004|Loan Officer-000001|Loan Officer-000002|Loan Officer-000003,"{""Loan Officer-000001"": 0.2647, ""Loan Officer-000002"": 0.2509, ""Loan Officer-000003"": 0.2309, ""Loan Officer-000004"": 0.2535}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Loan Officer-000001 for Assess loan risk from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0006,6,llm_agent_proxy,Loan Officer-000001,Reject application,Clerk-000008,8,Clerk-000001|Clerk-000007|Clerk-000008|Clerk-000003|Clerk-000002|Clerk-000004|Clerk-000005|Clerk-000006,"{""Clerk-000001"": 0.155, ""Clerk-000002"": 0.1125, ""Clerk-000003"": 0.1185, ""Clerk-000004"": 0.1307, ""Clerk-000005"": 0.1246, ""Clerk-000006"": 0.1033, ""Clerk-000007"": 0.1185, ""Clerk-000008"": 0.1368}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000008 for Reject application from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0007,1,llm_agent_proxy,,Check application form completeness,Clerk-000001,8,Clerk-000001|Clerk-000006|Clerk-000008|Clerk-000007|Clerk-000003|Clerk-000002|Clerk-000005|Clerk-000004,"{""Clerk-000001"": 0.1382, ""Clerk-000002"": 0.1155, ""Clerk-000003"": 0.1246, ""Clerk-000004"": 0.1053, ""Clerk-000005"": 0.1121, ""Clerk-000006"": 0.1382, ""Clerk-000007"": 0.1302, ""Clerk-000008"": 0.1359}",guarded_activity_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000001 for Check application form completeness from resource-local feasible candidates using guarded_activity_prior.
S_llm_agent_proxy_0007,2,llm_agent_proxy,Clerk-000001,Return application back to applicant,Clerk-000002,5,Clerk-000006|Clerk-000008|Clerk-000002|Clerk-000003|Clerk-000007,"{""Clerk-000001"": 0.0465, ""Clerk-000002"": 0.1163, ""Clerk-000003"": 0.1279, ""Clerk-000004"": 0.093, ""Clerk-000005"": 0.1279, ""Clerk-000006"": 0.186, ""Clerk-000007"": 0.186, ""Clerk-000008"": 0.1163}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Clerk-000002 for Return application back to applicant from resource-local feasible candidates using guarded_handover_prior.
S_llm_agent_proxy_0007,3,llm_agent_proxy,Clerk-000002,Applicant completes form,Applicant-000001,1,Applicant-000001,"{""Applicant-000001"": 1.0}",guarded_handover_prior,handover_continuity|historical_capability|workload_balance,Selected Applicant-000001 for Applicant completes form from resource-local feasible candidates using guarded_handover_prior.
