case_id,from_resource,to_resource,activity,timestamp,message
S_llm_agent_proxy_0003,AML Investigator-000002,Loan Officer-000003,Assess loan risk,2023-04-20T11:55:45+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0003,Loan Officer-000003,Clerk-000002,Reject application,2023-04-20T12:15:45+00:00,Handover for Reject application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0004,Clerk-000005,Clerk-000008,Return application back to applicant,2023-04-20T10:23:01+00:00,Handover for Return application back to applicant; selected Clerk-000008 from 4 feasible resources.
S_llm_agent_proxy_0004,Clerk-000008,Applicant-000001,Applicant completes form,2023-04-20T10:28:01+00:00,Handover for Applicant completes form; selected Applicant-000001 from 1 feasible resources.
S_llm_agent_proxy_0004,Applicant-000001,Clerk-000006,Check application form completeness,2023-04-21T03:28:01+00:00,Handover for Check application form completeness; selected Clerk-000006 from 8 feasible resources.
S_llm_agent_proxy_0004,Clerk-000006,AML Investigator-000001,AML check,2023-04-21T03:50:47+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0004,AML Investigator-000001,Clerk-000001,Check credit history,2023-04-21T04:34:31+00:00,Handover for Check credit history; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0004,Clerk-000001,Appraiser-000001,Appraise property,2023-04-21T04:46:32+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0004,Appraiser-000001,Loan Officer-000003,Assess loan risk,2023-04-21T22:16:26+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0004,Loan Officer-000003,Loan Officer-000004,Design loan offer,2023-04-21T22:36:26+00:00,Handover for Design loan offer; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0004,Loan Officer-000004,Senior Officer-000001,Approve loan offer,2023-04-21T22:48:55+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0004,Senior Officer-000001,Clerk-000005,Cancel application,2023-04-21T23:08:55+00:00,Handover for Cancel application; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0005,Clerk-000007,Clerk-000001,Check credit history,2023-04-20T10:50:23+00:00,Handover for Check credit history; selected Clerk-000001 from 7 feasible resources.
S_llm_agent_proxy_0005,Clerk-000001,Appraiser-000001,Appraise property,2023-04-20T11:15:45+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0005,Appraiser-000001,AML Investigator-000001,AML check,2023-04-20T12:01:54+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0005,AML Investigator-000001,Loan Officer-000001,Assess loan risk,2023-04-20T12:47:24+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0005,Loan Officer-000001,Clerk-000004,Reject application,2023-04-20T13:07:24+00:00,Handover for Reject application; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0006,Clerk-000004,Clerk-000007,Check credit history,2023-04-20T11:11:53+00:00,Handover for Check credit history; selected Clerk-000007 from 7 feasible resources.
S_llm_agent_proxy_0006,Clerk-000007,AML Investigator-000002,AML check,2023-04-20T11:35:02+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0006,AML Investigator-000002,Appraiser-000001,Appraise property,2023-04-20T11:52:50+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0006,Appraiser-000001,Loan Officer-000001,Assess loan risk,2023-04-20T12:35:03+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0006,Loan Officer-000001,Clerk-000008,Reject application,2023-04-20T12:55:03+00:00,Handover for Reject application; selected Clerk-000008 from 8 feasible resources.
S_llm_agent_proxy_0007,Clerk-000001,Clerk-000002,Return application back to applicant,2023-04-20T11:30:32+00:00,Handover for Return application back to applicant; selected Clerk-000002 from 5 feasible resources.
S_llm_agent_proxy_0007,Clerk-000002,Applicant-000001,Applicant completes form,2023-04-20T11:35:32+00:00,Handover for Applicant completes form; selected Applicant-000001 from 1 feasible resources.
S_llm_agent_proxy_0007,Applicant-000001,Clerk-000002,Check application form completeness,2023-04-21T04:35:32+00:00,Handover for Check application form completeness; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0007,Clerk-000002,Appraiser-000001,Appraise property,2023-04-21T04:41:58+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0007,Appraiser-000001,Clerk-000004,Check credit history,2023-04-21T05:16:45+00:00,Handover for Check credit history; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0007,Clerk-000004,AML Investigator-000002,AML check,2023-04-21T05:33:58+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0007,AML Investigator-000002,Loan Officer-000004,Assess loan risk,2023-04-21T07:10:38+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0007,Loan Officer-000004,Loan Officer-000002,Design loan offer,2023-04-21T07:30:38+00:00,Handover for Design loan offer; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0007,Loan Officer-000002,Senior Officer-000002,Approve loan offer,2023-04-21T07:39:20+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0007,Senior Officer-000002,Clerk-000004,Cancel application,2023-04-21T07:59:20+00:00,Handover for Cancel application; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0008,Clerk-000008,AML Investigator-000001,AML check,2023-04-20T12:27:09+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0008,AML Investigator-000001,Appraiser-000002,Appraise property,2023-04-20T12:53:06+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0008,Appraiser-000002,Clerk-000004,Check credit history,2023-04-20T13:42:06+00:00,Handover for Check credit history; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0008,Clerk-000004,Loan Officer-000004,Assess loan risk,2023-04-20T14:07:30+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0008,Loan Officer-000004,Loan Officer-000001,Design loan offer,2023-04-20T14:27:30+00:00,Handover for Design loan offer; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0008,Loan Officer-000001,Senior Officer-000001,Approve loan offer,2023-04-20T14:28:40+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0008,Senior Officer-000001,Clerk-000003,Cancel application,2023-04-20T14:48:40+00:00,Handover for Cancel application; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0009,Clerk-000002,Clerk-000007,Check credit history,2023-04-20T12:35:45+00:00,Handover for Check credit history; selected Clerk-000007 from 7 feasible resources.
S_llm_agent_proxy_0009,Clerk-000007,Appraiser-000002,Appraise property,2023-04-20T12:49:51+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0009,Appraiser-000002,AML Investigator-000002,AML check,2023-04-20T14:49:47+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0009,AML Investigator-000002,Loan Officer-000003,Assess loan risk,2023-04-20T15:49:41+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0009,Loan Officer-000003,Loan Officer-000001,Design loan offer,2023-04-20T16:09:41+00:00,Handover for Design loan offer; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0009,Loan Officer-000001,Senior Officer-000002,Approve loan offer,2023-04-20T16:19:09+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0009,Senior Officer-000002,Clerk-000001,Cancel application,2023-04-20T16:39:09+00:00,Handover for Cancel application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0010,Clerk-000006,Clerk-000008,Check credit history,2023-04-20T13:03:48+00:00,Handover for Check credit history; selected Clerk-000008 from 7 feasible resources.
S_llm_agent_proxy_0010,Clerk-000008,AML Investigator-000001,AML check,2023-04-20T13:09:23+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0010,AML Investigator-000001,Appraiser-000001,Appraise property,2023-04-20T13:49:32+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0010,Appraiser-000001,Loan Officer-000003,Assess loan risk,2023-04-20T14:16:42+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0010,Loan Officer-000003,Clerk-000001,Reject application,2023-04-20T14:36:42+00:00,Handover for Reject application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0011,Clerk-000002,Clerk-000003,Check credit history,2023-04-20T13:43:17+00:00,Handover for Check credit history; selected Clerk-000003 from 7 feasible resources.
S_llm_agent_proxy_0011,Clerk-000003,Appraiser-000001,Appraise property,2023-04-20T13:52:33+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0011,Appraiser-000001,AML Investigator-000001,AML check,2023-04-20T14:01:01+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0011,AML Investigator-000001,Loan Officer-000004,Assess loan risk,2023-04-20T15:52:22+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0011,Loan Officer-000004,Loan Officer-000001,Design loan offer,2023-04-20T16:12:22+00:00,Handover for Design loan offer; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0011,Loan Officer-000001,Senior Officer-000001,Approve loan offer,2023-04-20T16:20:01+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0011,Senior Officer-000001,Clerk-000003,Cancel application,2023-04-20T16:40:01+00:00,Handover for Cancel application; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0012,Clerk-000006,Appraiser-000001,Appraise property,2023-04-20T14:49:08+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0012,Appraiser-000001,AML Investigator-000001,AML check,2023-04-20T15:00:23+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0012,AML Investigator-000001,Clerk-000004,Check credit history,2023-04-20T15:25:59+00:00,Handover for Check credit history; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0012,Clerk-000004,Loan Officer-000001,Assess loan risk,2023-04-20T16:57:58+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0012,Loan Officer-000001,Loan Officer-000003,Design loan offer,2023-04-20T17:17:58+00:00,Handover for Design loan offer; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0012,Loan Officer-000003,Senior Officer-000001,Approve loan offer,2023-04-20T17:26:16+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0012,Senior Officer-000001,Clerk-000005,Cancel application,2023-04-20T17:46:16+00:00,Handover for Cancel application; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0013,Clerk-000001,AML Investigator-000001,AML check,2023-04-20T15:18:57+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0013,AML Investigator-000001,Clerk-000007,Check credit history,2023-04-20T15:25:20+00:00,Handover for Check credit history; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0013,Clerk-000007,Appraiser-000002,Appraise property,2023-04-20T15:40:06+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0013,Appraiser-000002,Loan Officer-000003,Assess loan risk,2023-04-20T16:38:40+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0013,Loan Officer-000003,Loan Officer-000004,Design loan offer,2023-04-20T16:58:40+00:00,Handover for Design loan offer; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0013,Loan Officer-000004,Senior Officer-000001,Approve loan offer,2023-04-20T17:04:46+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0013,Senior Officer-000001,Clerk-000002,Cancel application,2023-04-20T17:24:46+00:00,Handover for Cancel application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0014,Clerk-000003,AML Investigator-000001,AML check,2023-04-20T15:15:41+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0014,AML Investigator-000001,Clerk-000007,Check credit history,2023-04-20T15:23:59+00:00,Handover for Check credit history; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0014,Clerk-000007,Appraiser-000001,Appraise property,2023-04-20T16:04:28+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0014,Appraiser-000001,Loan Officer-000001,Assess loan risk,2023-04-20T16:05:04+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0014,Loan Officer-000001,Clerk-000007,Reject application,2023-04-20T16:25:04+00:00,Handover for Reject application; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0015,Clerk-000001,Clerk-000003,Check credit history,2023-04-21T07:33:11+00:00,Handover for Check credit history; selected Clerk-000003 from 7 feasible resources.
S_llm_agent_proxy_0015,Clerk-000003,Appraiser-000002,Appraise property,2023-04-21T07:51:18+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0015,Appraiser-000002,AML Investigator-000001,AML check,2023-04-21T08:07:02+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0015,AML Investigator-000001,Loan Officer-000003,Assess loan risk,2023-04-21T08:54:19+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0015,Loan Officer-000003,Loan Officer-000002,Design loan offer,2023-04-21T09:14:19+00:00,Handover for Design loan offer; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0015,Loan Officer-000002,Senior Officer-000002,Approve loan offer,2023-04-21T09:16:33+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0015,Senior Officer-000002,Clerk-000005,Approve application,2023-04-21T09:36:33+00:00,Handover for Approve application; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0016,Clerk-000006,AML Investigator-000001,AML check,2023-04-21T08:17:37+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0016,AML Investigator-000001,Clerk-000003,Check credit history,2023-04-21T08:55:38+00:00,Handover for Check credit history; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0016,Clerk-000003,Appraiser-000002,Appraise property,2023-04-21T10:37:56+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0016,Appraiser-000002,Loan Officer-000001,Assess loan risk,2023-04-21T13:00:56+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0016,Loan Officer-000001,Clerk-000005,Reject application,2023-04-21T13:20:56+00:00,Handover for Reject application; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0017,Clerk-000003,Clerk-000007,Check credit history,2023-04-21T08:45:08+00:00,Handover for Check credit history; selected Clerk-000007 from 7 feasible resources.
S_llm_agent_proxy_0017,Clerk-000007,Appraiser-000001,Appraise property,2023-04-21T08:53:34+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0017,Appraiser-000001,AML Investigator-000001,AML check,2023-04-21T08:58:29+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0017,AML Investigator-000001,Loan Officer-000002,Assess loan risk,2023-04-21T09:54:00+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0017,Loan Officer-000002,Clerk-000003,Reject application,2023-04-21T10:14:00+00:00,Handover for Reject application; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0018,Clerk-000004,Clerk-000003,Check credit history,2023-04-21T09:21:41+00:00,Handover for Check credit history; selected Clerk-000003 from 7 feasible resources.
S_llm_agent_proxy_0018,Clerk-000003,Appraiser-000002,Appraise property,2023-04-21T12:07:49+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0018,Appraiser-000002,AML Investigator-000001,AML check,2023-04-21T13:21:28+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0018,AML Investigator-000001,Loan Officer-000001,Assess loan risk,2023-04-21T13:42:32+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0018,Loan Officer-000001,Clerk-000001,Reject application,2023-04-21T14:02:32+00:00,Handover for Reject application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0019,Clerk-000002,AML Investigator-000002,AML check,2023-04-21T09:59:34+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0019,AML Investigator-000002,Clerk-000002,Check credit history,2023-04-21T10:20:18+00:00,Handover for Check credit history; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0019,Clerk-000002,Appraiser-000001,Appraise property,2023-04-21T11:14:42+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0019,Appraiser-000001,Loan Officer-000001,Assess loan risk,2023-04-21T11:17:35+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0019,Loan Officer-000001,Clerk-000007,Reject application,2023-04-21T11:37:35+00:00,Handover for Reject application; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0020,Clerk-000006,Clerk-000005,Check credit history,2023-04-24T02:23:27+00:00,Handover for Check credit history; selected Clerk-000005 from 7 feasible resources.
S_llm_agent_proxy_0020,Clerk-000005,Appraiser-000002,Appraise property,2023-04-24T02:42:24+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0020,Appraiser-000002,AML Investigator-000002,AML check,2023-04-24T19:19:34+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0020,AML Investigator-000002,Loan Officer-000002,Assess loan risk,2023-04-24T20:32:21+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0020,Loan Officer-000002,Clerk-000006,Reject application,2023-04-24T20:52:21+00:00,Handover for Reject application; selected Clerk-000006 from 8 feasible resources.
S_llm_agent_proxy_0021,Clerk-000002,Clerk-000007,Check credit history,2023-04-24T02:34:35+00:00,Handover for Check credit history; selected Clerk-000007 from 7 feasible resources.
S_llm_agent_proxy_0021,Clerk-000007,AML Investigator-000001,AML check,2023-04-24T03:14:33+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0021,AML Investigator-000001,Appraiser-000002,Appraise property,2023-04-24T03:49:07+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0021,Appraiser-000002,Loan Officer-000004,Assess loan risk,2023-04-24T04:40:28+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0021,Loan Officer-000004,Clerk-000002,Reject application,2023-04-24T05:00:28+00:00,Handover for Reject application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0022,Clerk-000004,AML Investigator-000002,AML check,2023-04-24T03:11:53+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0022,AML Investigator-000002,Clerk-000003,Check credit history,2023-04-26T21:34:47+00:00,Handover for Check credit history; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0022,Clerk-000003,Appraiser-000002,Appraise property,2023-04-26T22:07:55+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0022,Appraiser-000002,Loan Officer-000001,Assess loan risk,2023-04-27T00:06:49+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0022,Loan Officer-000001,Clerk-000008,Reject application,2023-04-27T00:26:49+00:00,Handover for Reject application; selected Clerk-000008 from 8 feasible resources.
S_llm_agent_proxy_0023,Clerk-000003,Appraiser-000001,Appraise property,2023-04-24T03:32:30+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0023,Appraiser-000001,AML Investigator-000002,AML check,2023-04-24T03:35:54+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0023,AML Investigator-000002,Clerk-000006,Check credit history,2023-04-24T03:41:09+00:00,Handover for Check credit history; selected Clerk-000006 from 8 feasible resources.
S_llm_agent_proxy_0023,Clerk-000006,Loan Officer-000002,Assess loan risk,2023-04-24T05:12:18+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0023,Loan Officer-000002,Clerk-000001,Reject application,2023-04-24T05:32:18+00:00,Handover for Reject application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0024,Clerk-000003,Appraiser-000001,Appraise property,2023-04-24T04:00:51+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0024,Appraiser-000001,AML Investigator-000002,AML check,2023-04-24T04:01:07+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0024,AML Investigator-000002,Clerk-000008,Check credit history,2023-04-24T04:06:33+00:00,Handover for Check credit history; selected Clerk-000008 from 8 feasible resources.
S_llm_agent_proxy_0024,Clerk-000008,Loan Officer-000002,Assess loan risk,2023-04-24T04:57:07+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0024,Loan Officer-000002,Senior Officer-000002,Approve loan offer,2023-04-24T05:27:18+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0024,Senior Officer-000002,Clerk-000001,Cancel application,2023-04-24T05:47:18+00:00,Handover for Cancel application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0025,Clerk-000006,Appraiser-000001,Appraise property,2023-04-24T04:42:57+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0025,Appraiser-000001,Clerk-000008,Check credit history,2023-04-24T04:51:53+00:00,Handover for Check credit history; selected Clerk-000008 from 8 feasible resources.
S_llm_agent_proxy_0025,Clerk-000008,AML Investigator-000001,AML check,2023-04-24T05:09:36+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0025,AML Investigator-000001,Loan Officer-000003,Assess loan risk,2023-04-24T05:11:17+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0025,Loan Officer-000003,Loan Officer-000004,Design loan offer,2023-04-24T05:31:17+00:00,Handover for Design loan offer; selected Loan Officer-000004 from 4 feasible resources.
