case_id,activity,resource,agent_type,valid,accept,suitability,expected_delay_minutes,reason,memory_items,error_type,selected
7,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity,3,,false
7,AML check,AML Investigator-000002,Role 3,true,true,0.508156,0.0,Agent has relevant recent experience with AML check activity,3,,true
4,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.5,10.0,"Recent task is similar but not the same activity, and agent has some available time",1,,true
4,Assess loan risk,Loan Officer-000003,Role 2,true,true,0.5,10.0,"Recent task is similar, but not exactly the same activity",1,,false
6,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.5,15.0,"Agent has some relevant experience with loan activities, but not directly with assessing loan risk.",1,,true
6,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.264743,0.0,"Suitability based on past activity, no delay expected",2,,false
2,Approve application,Clerk-000003,Role 1,true,true,0.129213,0.0,Suitability based on agent type and available time,0,,false
2,Approve application,Clerk-000007,Role 1,true,true,0.5,10.0,"Recent tasks have similar activity, but not the exact task, and the agent has some capability overlap",2,,true
9,Check application form completeness,Clerk-000003,Role 1,true,true,0.124575,0.0,Suitability based on agent type and available time,0,,false
9,Check application form completeness,Clerk-000001,Role 1,true,true,0.138165,0.0,High suitability due to recent experience with similar tasks,3,,true
8,Return application back to applicant,Clerk-000003,Role 1,true,true,0.127907,0.0,"Suitability based on activity prior, agent type and capability count",0,,false
8,Return application back to applicant,Clerk-000006,Role 1,true,true,0.5,0.0,"Recent tasks are similar to the current task, but not exactly the same.",3,,true
7,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity,3,,true
5,Assess loan risk,Loan Officer-000003,Role 2,true,true,0.5,0.0,Agent has relevant capability count and recent task is not too dissimilar,1,,true
5,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.264743,0.0,"Suitability based on past activity, agent type and recent tasks",2,,false
4,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.264743,0.0,"Suitability based on past activity, agent type and recent tasks",2,,true
6,Design loan offer,Loan Officer-000002,Role 2,true,true,0.245726,0.0,"Suitability based on recent activity, agent type and capability count.",2,,false
6,Design loan offer,Loan Officer-000001,Role 2,true,true,0.5,0.0,Suitability is moderate due to recent experience with similar tasks.,3,,true
8,Applicant completes form,Applicant-000001,Role 6,true,true,1.0,0.0,High suitability due to matching agent type and recent inactivity.,0,,true
7,Assess loan risk,Loan Officer-000004,Role 2,true,true,0.25345,0.0,"Suitability based on past activity, agent type and recent tasks",2,,false
7,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.5,15.0,Recent experience with similar tasks and available at the time of request,2,,true
5,Reject application,Clerk-000003,Role 1,true,true,0.118541,0.0,Suitability based on agent type and activity prior,0,,false
5,Reject application,Clerk-000008,Role 1,true,true,0.136778,0.0,Suitability based on past activity prior,3,,true
4,Design loan offer,Loan Officer-000003,Role 2,true,true,0.282051,0.0,Suitability based on recent task 'Design loan offer' and capability count.,2,,true
4,Design loan offer,Loan Officer-000004,Role 2,true,true,0.24359,0.0,Suitability based on past activity prior,2,,false
6,Approve loan offer,Senior Officer-000001,Role 5,true,true,0.5,33.0,Recent task of similar activity took 33 minutes,1,,true
6,Approve loan offer,Senior Officer-000002,Role 5,true,true,0.5,42.0,Recent task was completed 42 minutes ago,1,,false
9,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on past activity matches the required task activity.,3,,true
8,Check application form completeness,Clerk-000003,Role 1,true,true,0.124575,0.0,Suitability based on agent type and available time,0,,false
8,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,0.0,Suitability based on recent task history,3,,true
7,Design loan offer,Loan Officer-000004,Role 2,true,true,0.5,0.0,Suitability is moderate due to recent experience with similar tasks.,2,,true
7,Design loan offer,Loan Officer-000003,Role 2,true,true,0.282051,0.0,Suitability based on past activity matches the task's activity,3,,false
4,Approve loan offer,Senior Officer-000002,Role 5,true,true,0.5,34.0,Recent task of similar activity took 34 minutes,1,,true
6,Cancel application,Clerk-000003,Role 1,true,true,0.113793,0.0,Suitability based on agent type and available time,0,,false
6,Cancel application,Clerk-000005,Role 1,true,true,0.141379,0.0,Suitability based on recent task history,3,,true
9,Appraise property,Appraiser-000001,Role 4,true,true,0.508156,0.0,High suitability due to recent experience with similar tasks,3,,true
9,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity,3,,false
7,Approve loan offer,Senior Officer-000001,Role 5,true,true,0.5,0.0,Agent has relevant capability count and recent task history,2,,true
7,Approve loan offer,Senior Officer-000002,Role 5,true,true,0.5,0.0,Agent has relevant capability count and recent experience with similar tasks.,2,,false
8,Check credit history,Clerk-000003,Role 1,true,true,0.126725,0.0,Suitability based on agent type and available capabilities,0,,false
8,Check credit history,Clerk-000002,Role 1,true,true,0.5,0.0,"Recent tasks show familiarity with the activity, but no recent completion.",3,,true
4,Approve application,Clerk-000003,Role 1,true,true,0.129213,0.0,Available and has capability for the task,0,,false
4,Approve application,Clerk-000004,Role 1,true,true,0.5,10.0,Recent tasks indicate moderate familiarity with similar activities,3,,true
7,Approve application,Clerk-000003,Role 1,true,true,0.129213,0.0,Available and has capability for the task,0,,false
7,Approve application,Clerk-000008,Role 1,true,true,0.5,5.0,"Recent tasks show a mix of approval and rejection activities, indicating moderate suitability for approving the application.",3,,true
8,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,High suitability due to recent AML check activities,3,,false
8,AML check,AML Investigator-000002,Role 3,true,true,0.508156,0.0,Suitability based on past activity matches the required task activity.,3,,true
9,Check credit history,Clerk-000003,Role 1,true,true,0.126725,0.0,Suitability based on agent type and available time,0,,false
9,Check credit history,Clerk-000005,Role 1,true,true,0.139272,0.0,Suitability based on past activity matches the task's activity,3,,true
8,Appraise property,Appraiser-000001,Role 4,true,true,0.508156,0.0,High suitability due to recent experience with similar tasks,3,,true
8,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity,3,,false
9,Assess loan risk,Loan Officer-000003,Role 2,true,true,0.5,10.0,Recent tasks show moderate relevance to the task activity,3,,true
9,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.264743,0.0,"Suitability based on past activity, agent type and capability count.",3,,false
8,Assess loan risk,Loan Officer-000004,Role 2,true,true,0.25345,0.0,"Suitability based on past activity, agent type and recent tasks",3,,false
8,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.5,0.0,Recent experience with similar tasks,3,,true
9,Reject application,Clerk-000003,Role 1,true,true,0.118541,0.0,Suitability based on agent type and activity prior,0,,false
9,Reject application,Clerk-000001,Role 1,true,true,0.5,0.0,"Recent tasks are similar to the task at hand, but not identical.",3,,true
8,Design loan offer,Loan Officer-000003,Role 2,true,true,0.282051,0.0,Suitability based on past activity matches the task's activity,3,,false
8,Design loan offer,Loan Officer-000004,Role 2,true,true,0.8,5.0,Recent experience with similar tasks and available at the time of request,3,,true
8,Approve loan offer,Senior Officer-000002,Role 5,true,true,0.5,0.0,Agent has relevant capability count and recent experience with similar tasks.,2,,false
8,Approve loan offer,Senior Officer-000001,Role 5,true,true,0.8,5.0,Recent experience with similar tasks and available at the time of request,3,,true
8,Cancel application,Clerk-000003,Role 1,true,true,0.113793,0.0,Available and has relevant capability,0,,false
8,Cancel application,Clerk-000004,Role 1,true,true,0.137931,0.0,"Suitability based on past activity prior, agent type and recent tasks",3,,true
